Dn,PrCode ,Product Description           ,Unit ,OBQty  ,OBVal    ,RcptQty,RcptVal  ,CBQty  ,CBVal    ,AdjQty ,SaleQty,SaleVal
01,0015171,HIFEN 100 DRY SYP             ,30ml ,     0 ,       0 ,    70,    3780,     0 ,       0 ,     0 ,    70,    3780
01,0015172,HIFEN 100mg PLUS TABS         ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015169,HIFEN 200 PLUS TABS           ,10s  ,    50 ,    4950 ,    30,    2970,    35 ,    3465 ,     1 ,    44,    4356
01,0015152,HIFEN 200mg DT TABS           ,10s  ,     5 ,     390 ,    20,    1560,    24 ,    1872 ,     0 ,     1,      78
01,0015123,HIFEN 50mg DRY SYP 30ml       ,30ml ,    70 ,    2590 ,     0,       0,    63 ,    2331 ,     0 ,     7,     259
01,0015178,HIFEN AZ 250mg tab            ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015149,HIFEN CV 200 TABS             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015151,HIFEN-100mg DT TABS           ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015150,HIFEN-50mg DT TABS            ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015058,IMIDIL -VS 3s                 ,3s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015180,IMIDIL 100gm POWDER           ,100gm,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015146,IMIDIL C VAGINAL TABS         ,3s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015040,IMIDIL CREAM 15GM             ,15gm ,    20 ,     580 ,     0,       0,    17 ,     493 ,     0 ,     3,      87
01,0015043,IMIDIL VEGINAL                ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015101,KLOX D 500 CAPS               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015127,KUTUB 30 X TAB                ,4s   ,     0 ,       0 ,    50,    7400,    40 ,    5920 ,     0 ,    10,    1480
01,0015014,LANOL ER TABS                 ,10s  ,   138 ,    2070 ,   400,    6000,   337 ,    5055 ,     0 ,   201,    3015
01,0015034,LEVOCET 10mg TABS             ,15s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015026,LEVOCET D TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
